File name,Question,Answer,Distractor 1,Distractor 2,Distractor 3,Author
6,How many kids have heard 1 minute greeting before?,1,2,3,0,Penghao
6,What is the color of the woman's top?,pink,blue,black,white,Penghao
6,What is the color of Michael's top?,blue,white,pink,black,Penghao
6,What is the job of the woman?,teacher,babysitter,seller,cleaner,Penghao
7,How do they greet each other?,good morning,good night,good evening,welcome,Aura
7,How much time they have to greet?,1 minute,5 minutes,15 minutes,7 minutes,Aura
7,What will the teacher use?,timer,phone,fax,toy,Aura
7,What do they do when they hear a beep?,go back,run around,jump,sing,Aura
7,What color is the carpet?,green,red,silver,gray,Aura
7,How many adults are there in the video?,2,3,4,1,Penghao
7,What is the color of Nichole's top?,yellow,blue,black,white,Penghao
7,How many kids are there in the classroom?,15,16,10,20,Penghao
7,How many kids answered the teacher's question?,4,3,2,1,Penghao
7,How do the teacher measure time?,by using a timer,by using a clock,by using her watch,by using her cellphone,Penghao
8,Where are they?,classroom,pool,gym,park,Aura
8,What game do they play?,toe-to-toe,knee to toe,knee to knee,bee,Aura
8,Where should they stand up?,edge of rug,edge of table,chair,bed,Aura
8,What does the teachers ask them to do first?,stand up,shout out,run,recite,Aura
8,What should they do if they have 1 thing they remember?,raise hands,sing,recite,shout out,Aura
8,How many kids are there in the classroom?,18,17,10,20,Penghao
8,How many teachers are there in the classroom?,2,3,1,4,Penghao
8,What are teachers' reaction to the girl's answer?,laugh,feel angry,are upset,cry,Penghao
9,How many teachers are?,2,1,0,4,Aura
9,What do kids have to find?,partner,house,cat,toy,Aura
9,What will kids give to partners?,high 5,toy,box,pen,Aura
9,What does she tell them to touch?,elbows,knee,heels,head,Aura
9,What do they do after high 5?,go to somebody else,run away,play lego,exercise,Aura
10,What do they do if they don't want to dance?,work the run way,paint,sing,jump,Aura
10,What is the teacher's first question?,Who is ready to dance?,Who is ready to party?,Who is ready to draw?,Who is ready to play?,Aura
10,What time of day is it?,morning,evening,afternoon,night,Aura
10,What are they ready for?,dance,eat,jump,yoga,Aura
10,What do they do before dance?,count,yoga,swim,jump,Aura
10,How do kids call their teacher?,Mr. Greg,Mr. Brown,Miss Greg,Mr. Clay,Penghao
10,How many children wear red clothes?,4,3,2,0,Penghao
10,What is the color of the trash can?,white,blue,black,purple,Penghao
10,What are they doing at the end of the video?,dancing,singing,jogging,slipping,Penghao
10,How many girls are there in the video?,4,3,2,1,Penghao
11,What do kids do first?,count,jump,yoga,swim,Aura
11,How many kids are?,8,10,16,11,Aura
11,How many kids have blue top?,1,3,4,0,Aura
11,How many kids have orange top?,1,0,2,5,Aura
11,How many kids stand up?,8,11,6,4,Aura
12,How do kids greet the teacher?,good morning,good afternoon,welcome,happy Easter,Aura
12,What do they do after greeting?,share ,sing,play,read,Aura
12,What color is the dress of the kid dancing?,pink,olive,black,blue,Aura
12,Wo do we look at when we share?,the person who is talking,mother,TV,cat,Aura
12,What does the person who is sharing need to do?,speak loud,speak soft,cry,draw,Aura
12,How many girls are there in the video?,5,4,1,2,Penghao
12,Where are the kids' hands when the others are sharing?,in the lap,on the head,above the head,at the floor,Penghao
12,What do they do after greeting?,share,read,dance,sing,Penghao
12,What do the person who is sharing need to do?,be loud,be quiet,be happy,be confident,Penghao
13,What is the teacher's first question?,Any more questions?,Any more cookies?,Any more books?,Any more toys?,Aura
13,What are they doing?,talk,sing,play,dive,Aura
13,What color is the t-shirt of the boy who responds first?,red,black,blue,beige,Aura
13,What color are the teacher's pants?,blue,red,black,green,Aura
13,Where did the boy go?,dad's house,cinema,pool,park,Aura
14,What is the teacher's first question?,What did you buy?,What did you watch?,What did you eat?,What did you cook?,Aura
14,What did she buy?,watch,puzzle,chess,doll,Aura
14,What is the name of the girl with the watch?,Leah,Loren,Mary,Emma,Aura
14,What is the name of the last boy talking?,Antonio,John,Joe,Dan,Aura
14,What kind of questions they ask?,about watch,about school,about book,about home,Aura
14,What did Lia get?,a watch,a TV,a new dress,a new shirt,Penghao
14,Where did Lia get the watch from?,bought it,stole it,made herself,she doesn't know either,Penghao
14,Why do the kids thumbs up?,to share or answer questions,for fun,to show respect,to get attention,Penghao
14,How many boys are there in the video?,4,3,5,1,Penghao
14,What color of the clothes does the girl next to Lia is on?,red,yellow,black,blue,Penghao
15,What is the first question?,what were you playing?,what were you reading?,what were you eating?,what were you singing?,Aura
15,What is the first answer?,playing outside,playing chess,playing inside,playing with kids,Aura
15,What was he playing?,football,chess,soccer,basketball,Aura
15,How many people are?,10,16,11,20,Aura
15,What kind of time is it?,sharing time,playing time,sleeping time,reading time,Aura
15,What were the kid playing outside?,football,basketball,tennis,soccer,Penghao
15,What do they do after sharing?,doodling,reading,sleeping,going out,Penghao
15,Where were the boys playing?,park,garden,supermarket,awn,Penghao
15,What color does the boy who is sharing wear?,blue,yellow,red,black,Penghao
16,What game do they play?,I have....who has....,lego,puzzle,chess,Aura
16,How many does the first kid say she has?,19,14,12,10,Aura
16,What do they have to make sure?,look at cards,write all,eat all,watch game,Aura
16,What does the first girl do?,hands in cards,hands in gloves,hands in cake,breaks cards,Aura
16,What does the teacher give them?,cards,balls,toys,bears,Aura
17,How many the teacher say he has first time?,14,12,10,9,Aura
17,How many does the first girl say she has?,16,6,5,3,Aura
17,How many the teacher say he has second time?,3,7,16,10,Aura
17,How many does the last child say he has?,1,0,8,5,Aura
17,What color is the teacher's top?,black,blue,beige,orange,Aura
19,What is the boy's name?,Nicholas,John,Joe,Mia,Aura
19,What is the first word to find?,is,was,there,when,Aura
19,What should Nicholas do?,find word,erase word,write word,say word,Aura
19,What is the second word to find?,the,is,was,there,Aura
19,What day is it?,Friday,Tuesday,Wednesday,Sunday,Aura
20,How does the teacher group kids?,2 by 2,4 by 4,3 by 3,1 by 1,Aura
20,Who is leading?,teacher,students,toy,robot,Aura
20,What kind of message is it?,morning,evening,afternoon,night,Aura
20,What does Leah say?,Joshua,Joe,Mia,Lily,Aura
20,what is the last word the kid says?,skydiver,teacher,sister,sunglasses,Aura
22,What is the teacher asking the kids to do?,things,verbs,nouns,toys,Aura
22,What pattern is on the carpet?,moustache,cercle,square,diamond,Aura
22,What does the teacher do after kids say a word?,write down,sing,paint,mimic,Aura
22,What does Kaitlin say?,wagon,sunglasses,band,scarf,Aura
22,Where are they sitting?,floor,couch,bed,armchair,Aura
23,How many kids are?,9,6,12,20,Aura
23,Where are they?,classroom,park,hospital,garden,Aura
23,What does the teacher ask the standing child to do?,run,paint,draw,cut paper,Aura
23,What do kids do when doing jumping jacks?,jump,run,eat,paint,Aura
23,What are kids showing?,verbs,nouns,subjects,pronouns,Aura
24,How are they sitting?,cercle,square,diamond,cube,Aura
24,What time of day is it?,morning,evening,afternoon,night,Aura
24,How do they practice?,standing up,running around,raising legs,jumping,Aura
24,Where did they go in the morning?,VPK,church,pool,movies,Aura
24,What color is the carpet?,blue,beige,golden,green,Aura
24,How many songs do they need to sing?,4,5,6,2,Penghao
24,How many kids are there in the classroom?,9,5,6,7,Penghao
24,Who refused to stand up at first?,Danny,Lia,Tommy,Timmy,Penghao
24,Who is crying at the end of the video?,Max,Danny,Tommy,Timmy,Penghao
26,What is the first song?,Our Little Turkey,Our brown Turkey,Turkey is a Funny Word,Little Lamb,Aura
26,What color are the bins with books?,red,blue,beige,golden,Aura
26,What is on the wall underneath the letters?,numbers,flowers,trees,bees,Aura
26,What is the second song?,Turkey is a Funny Word,Our brown Turkey,Old McDonald,Little Lamb,Aura
26,Who is telling the kids what to sing?,teacher,sister,priest,doctor,Aura
26,What are they doing?,singing,dancing,reading,painting,Penghao
26,How many kids are standing?,7,5,6,8,Penghao
26,How many songs do they sing?,2,3,5,1,Penghao
26,What is the color of the clothes of the teacher?,green,blue,black,pink,Penghao
26,How many baskets are there on the cabinet?,3,4,2,1,Penghao
27,What is the first song?,Our Little Turkey,Our Little Lamb,Our brown Turkey,Old McDonald,Aura
27,What do they do first?,sing,paint,draw,jump,Aura
27,What do they do after singing?,applause,jump,eat,paint,Aura
27,What does the teacher put on her head?,sunglasses,band,scarf,hat,Aura
27,What will they do after song?,pledge of allegiance,jump,poetry,run,Aura
27,What does the teacher pick up after singing?,a flag,a watch,a sandwich,a book,Penghao
27,Are potatos vegetables or fruits?,vegetables,fruits,/,/,Penghao
27,Has the girl in pink dress had potatos before?,yes,no,/,/,Penghao
30,How many kids are?,9,8,6,12,Aura
30,Where are they?,classroom,restaurant,park,hospital,Aura
30,What is the teacher holding?,flag,pen,brush,clock,Aura
30,Where do they keep their hand?,heart,leg,elbow,knee,Aura
30,What do they recite?,pledge of allegiance,poetry,discours,list,Aura
30,What is the teacher holding?,a flag of the United States,apple pie,olive branch,story book,Penghao
30,What they are doing at the end of the video?,vowing,reading,playing a game,singing,Penghao
30,What is the color of the microwave?,white,blue,black,yellow,Penghao
30,How many kids are standing?,9,7,8,10,Penghao
31,Where are they?,classroom,yard,bed,closet,Aura
31,What color is the table?,beige,golden,green,red,Aura
31,What pattern is on the carpet?,geometrical shapes,flowers,diamonds,hearts,Aura
31,What kind of walls are there?,wood,bricks,cement,sticks,Aura
31,What do they do the second time the music stops?,silly faces,jump,sing,cry,Aura
31,What are those kids doing?,dancing,drinking,sleeping,eating,Penghao
31,What is the color of the sofa?,red,blue,brown,purple,Penghao
31,How many people are in this video?,5,2,10,12,Penghao
31,How many people wearing glasses?,1,4 ,10,6,Penghao
31,What is the color of the wall?,yellow,red,blue,pink,Penghao
32,How many kids are?,5,6,2,10,Aura
32,What do the kids do?,dance,run,sing,cry,Aura
32,What do the kids do when the musics stops?,freeze,sing,cry,write,Aura
32,How many boys are?,0,3,2,10,Aura
32,What do they wear?,pajamas,skirt,coat,jacket,Aura
33,What did he buy?,car,bed,book,bike,Aura
33,Where did he buy it?,BMW Dealership,Audi,Ford Dealership,Nissan Dealership,Aura
33,For whom did he buy it?,mom,aunt,uncle,cousin,Aura
33,How many kids does the woman have?,3,5,2,10,Aura
33,What is he putting on the car?,sticky notes,wrap,bags,plastic,Aura
33,What is the color of the car?,blue,yellow,red,black,Penghao
33,What is the brand of the car?,BMW,Benz,Toyota,Ford,Penghao
33,How many people are in this video?,1,2,3,11,Penghao
33,What color of the man's jacket?,blue,yellow,pink,green,Penghao
34,Who had the idea of the heart?,brother,cousin,aunt,uncle,Aura
34,What is the brother making?,a heart shape,a square shape,a bed,a diamond shape,Aura
34,What color are the stickers around the wheels?,yellow,black,brown,gray,Aura
34,What does he use to write?,pen,pencil,brush,stick,Aura
34,What color is the pen writing?,black,red,golden,green,Aura
34,How many colors are the sticky notes?,4 ,5,10,7,Penghao
34,What is the color of the grass?,green,purple,pink,yellow,Penghao
34,How is the weather in this video?,sunny,raning,snowing,storm,Penghao
34,What is the brand of the car?,BMW,Benz,Tesla,Porsche,Penghao
34,What's color of the pen?,black,purple,yellow,red,Penghao
35,What is he going to show her?,her new car,her used car,her new cat,her new home,Aura
35,What is the pink shape on the car?,heart,green,blue,golden,Aura
35,How is the woman in the beginning?,blindfolded,dressed up,tied,sweaty,Aura
35,How many reasons did he write?,100,99,80,70,Aura
35,Whose car is it?,mother's,daddy's,son's,cousin's,Aura
35,What was the reaction of his mom when she saw the car?,excited,sad,disintersted,angry,Penghao
35,How many sticky notes are there on the car?,"10,000","1,000",500,300,Penghao
35,What did the man write on the sticky notes?,reasons why he loves his mom,his songs,his poems,reasons why he looks so handsome,Penghao
35,What is the color of his mom's top?,black,blue,yellow,white,Penghao
35,What is the name of the man?,Derek,Dan,Peter,John,Penghao
36,What is the car covered in?,sticky notes,plastic,wrap,bags,Aura
36,What is underneath the sticky notes?,car,robot,pencil,house,Aura
36,Who is removing the sticky notes?,2 women and a man,3 women and a man,2 women ,a man,Aura
36,What kind of car she got?,new car,old car,used car,classic car,Aura
36,What does she not need to start the car?,keys,button,app,door,Aura
36,How many people are in the video?,4 ,5,6,7,Penghao
36,Who's going to drive the car?,mother,father,son,daughter,Penghao
36,What is the brand of the car?,BMW,Benz,Tesla,Porsche,Penghao
36,How many women are in this video?,2,1,3,4 ,Penghao
36,How many men are in this video?,2,1,3,4 ,Penghao
37,Who is driving?,woman,grandson,sister,brother,Aura
37,How many people have sunglasses on?,1,2,10,0,Aura
37,How many people are in the car?,4,6,2,10,Aura
37,What does the man show the woman to do?,put the car in reverse,drive the car,stop the car,wash the car,Aura
37,What color are the driver's pants?,blue,red,black,brown,Aura
37,How many people are in purple?,1,2,3,4 ,Penghao
37,How many people are wearing sunglasses?,1,2,3,4 ,Penghao
37,How many women are in this video?,2,1,3,4 ,Penghao
37,How many women in black?,1,2,3,4 ,Penghao
38,Where are they in the beginning?,car,cinema,yard,bed,Aura
38,What color is the car?,blue,yellow,black,brown,Aura
38,How many people are in the car?,3,5,2,11,Aura
38,Where is the car?,street,garden,school,cinema,Aura
38,Who is the woman?,mother,aunt,cousin,sister,Aura
38,How many men are there in the video?,2,3,4 ,1,Penghao
38,What does his mother say when she hugs the man?,Thank you so much,I love you,I am glad you are happy,Oh my god,Penghao
38,What is the color of the woman's pants?,blue,yellow,pink,white,Penghao
38,What is the color of the man's top?,blue,yellow,pink,white,Penghao
39,What is the first ingredient they add?,chocolate chips,cacao,salt,flour,Aura
39,What are they doing?,cooking,singing,watching,running,Aura
39,How many eggs do they need?,1,3,2,10,Aura
39,What is the name of the girl?,Vivianne,Ann,Jane,Ela,Aura
39,Who does the girl want to marry?,mommy,sister,brother,aunt,Aura
39,How many people are in the video?,2,1,3,4 ,Penghao
39,How many kids are in this video?,1,2,3,4 ,Penghao
39,What is the relationship between the woman and the girl?,mother and daughter,friends,father and daughter,grandmother and granddaughter,Penghao
39,How many men are in this video?,0,1,3,4 ,Penghao
39,How many fwomen are in this video?,2,6,3,4 ,Penghao
40,What is next to the window?,Christmas tree,desk,table,yard,Aura
40,What color is the top of the first girl?,pink,light gray,golden,orange,Aura
40,What is on the white pillow?,puppy,bird,monkey,baby,Aura
40,What color is the puppy?,white,navy,blue,golden,Aura
40,What color is the girls' hair?,blonde,black,brown,gray,Aura
41,What do kids do?,open gifts,eat,sing,run,Aura
41,What did the first kid get?,Angry Birds shirt,Batman shirt,dress,train,Aura
41,What color is the Angry birds shirt?,green,blue,golden,orange,Aura
41,Where are the children?,next to the Christmas tree,yard,school,cinema,Aura
41,How many gifts they open?,3,2,10,11,Aura
42,What are they opening?,Santa gifts,birthday gifts,fridge,backpack,Aura
42,Where are the presents?,under the tree,table,yard,desk,Aura
42,What did children want?,dog,monkey,baby,bird,Aura
42,What are the children wearing?,pajamas,dress,skirt,t-shirt,Aura
42,Who is comforting the kid?,woman,grandpa,grandmother,sister,Aura
43,What game is on the table?,chess,dame,puzzle,lego,Aura
43,Who picked the dog?,grandpa,mother,father,sister,Aura
43,How many kids are?,2,5,4,6,Aura
43,What is the boy holding?,dog,baby,cat,ape,Aura
43,What is the name of the boy holding the dog?,Zach,Ethan,Emma,John,Aura
44,What is he buying?,fish,dog,cat,bird,Aura
44,How many types of fish does he want?,3,2,10,11,Aura
44,What color is his hat?,light gray,golden,orange,red,Aura
44,How many fish of the first type does he want?,2,20,3,10,Aura
44,How many people are there in the video?,2,1,3,0,Penghao
44,What are words on the man's shirt?,Reel legends never die,Impossible is nothing,Reel legends never stop,Never mind,Penghao
44,Where are they?,Walmart,Walgreen,CVS,pet shop,Penghao
44,What is the color of the left man's shirt?,black,white,yellow,red,Penghao
45,What is he buying?,goldfish,mice,dog,cat,Aura
45,In which store section is he?,fish,dog,cat,bird,Aura
45,What does every fish needs?,name,food,bowl,water,Aura
45,What color is the fish net?,blue,golden,gray,red,Aura
45,What does he love?,goldfish,parrot,dog,cat,Aura
45,What kind of the pet is?,fish,cat,dog,wolf,Penghao
45,What words print on the speaking man's top?,Reel legends never die,Impossible is nothing,Reel legends never stop,Never mind,Penghao
45,How many women are in this video?,0,1,3,4 ,Penghao
45,What's color of the hat?,grey,red,yellow,black,Penghao
45,How many people showed up in this video?,3,1,2,4 ,Penghao
46,Why are they looking at the bag in the beginning?,counting,eating,searching,watching,Aura
46,How many fish are in the bag?,19,10,12,9,Aura
46,Where is he?,store,mall,school,closet,Aura
46,How many bags of fish does he hold in the end?,2,6,0,1,Aura
46,How many bracelets does the young man have?,2,10,11,5,Aura
46,How many women are in this video?,0,1,3,4 ,Penghao
46,What's color of the hat?,grey,red,yellow,black,Penghao
46,How many people showed up in this video?,2,1,3,4 ,Penghao
46,What's color of the grass?,green,yellow,red,black,Penghao
47,What do they start?,decluttering,moving,running,watching,Aura
47,What color is the ball to donate?,green,black,golden,gray,Aura
47,Where are they?,carpet,bathtub,school,classroom,Aura
47,Who will the kid keep?,Superman,Batman,Catwoman,cat,Aura
47,How many kids are there?,2,3,4 ,1,Penghao
47,What are those kids doing?,playing with toys,reading,singing,having dinner,Penghao
47,What color is the girl's top?,pink,blue,yellow,white,Penghao
47,What is the woman showing?,baby toy,a monster,baby shampoo,adult toy,Penghao
47,What is the color of the woman's top?,green,yellow,white,blue,Penghao
48,What did she get for 1st Christmas?,caterpillar,bear,dog,cat,Aura
48,What color is the wardrobe?,black,golden,gray,red,Aura
48,For whom she got the first toy?,Ethan,John,Maria,Joe,Aura
48,When did she get the toy for Ethan?,when he was a baby,when he was a teenager,when he was an adult,yesterday,Aura
48,To whom does she give the potato head toy?,Emma,Maria,Joe,Ethan,Aura
48,How many kids are there?,2,3,4 ,1,Penghao
48,What are those kids doing?,playing with toys,reading,singing,having dinner,Penghao
48,How many men are in this video?,0,1,3,4 ,Penghao
48,How many women are in this video?,2,3,4 ,1,Penghao
48,What is the color of the room door?,white,black,red,yellow,Penghao
49,Where are the dinosaurs?,on the stand,on the shelves,box,bin,Aura
49,What is next to the dinosaur collection on the stand?,Christmas tree,cat,Superman,Batman,Aura
49,Where is Spiderman?,bin,on the stand,on the shelves,closet,Aura
49,How many white bins are in the boy's room?,6,0,1,5,Aura
49,Where are a lot of baby toys?,Emma's room,closet,floor,bathtub,Aura
49,How many dinosaur toys here?,5,1,3,4 ,Penghao
49,What's color of the box?,white,pink,yellow,red,Penghao
49,What's the color of the little girl's top?,pink,white,yellow,red,Penghao
49,How many people sitting on the groud?,1,2,3,4 ,Penghao
49,How many people speaking in this video?,1,2,3,4 ,Penghao
50,What has not been used?,baby toys,stroller,books,carpet,Aura
50,Where are the cubicles?,closet,box,bathroom,cinema,Aura
50,How many men are in the video?,0,1,5,6,Aura
50,Where is she taking the kids now?,to sleep,to play,to store,to class,Aura
50,How many adults are in the video?,1,5,6,2,Aura
50,What is the color of the door?,white,yellow,blue,black,Penghao
50,What is the color of the mermaid's hair?,red,yellow,pink,blue,Penghao
50,What is the color of the basket?,pink,yellow,white,black,Penghao
50,How many trash bags are there?,1,2,3,4 ,Penghao
50,What is the color of the woman's top?,green,white,red,blue,Penghao
51,To which area she made it?,last area,school,garden,first area,Aura
51,What does she organize?,toys,books,pens,colors,Aura
51,Where does she put the toys?,bin,case,box,chest,Aura
51,Who has trucks?,Ethan,Eli,Maria,Joe,Aura
51,Who has brushes?,Emma,Jane,Joe,Ethan,Aura
51,How many people are sitting on the ground?,1,2,3,4 ,Penghao
51,What's the color of the woman's hair?,black,brown,purple,blond,Penghao
51,How many people are speaking in this video?,1,2,3,4 ,Penghao
51,How many women are in this video?,1,3,4 ,2,Penghao
51,How many men are in this video?,0,1,2,3,Penghao
52,Where is she taking the toys?,upstairs,downstairs,garden,school,Aura
52,Where is she putting the toys?,bag,shelves,bed,table,Aura
52,Why is she taking the toys upstairs?,to organize,to clean,to fix,to paint,Aura
52,What color are the toy bins?,white,red,blue,orange,Aura
52,What color is her blouse?,green,black,orange,golden,Aura
52,How many people speaking in this video?,1,2,3,4 ,Penghao
52,How many men are in this video?,0,1,2,3,Penghao
52,How many women are in this video?,1,3,4 ,1,Penghao
52,How many kids are in this video?,0,1,2,3,Penghao
52,What is the color of the women's hair?,black,white,yellow,blue,Penghao
53,What happened to the xBox?,not working,recycled,dropped,boiled,Aura
53,What kind of video he does?,fixing video,cleaning video,education video,long video,Aura
53,Where is the picture?,floor,table,shelves,bed,Aura
53,What is no 1 priority?,safety,fun,school,vacation,Aura
53,Which fixing video is this?,first,third,fourth,last,Aura
53,What's color of the woman's hair?,black,brown,purple,blond,Penghao
53,What is the color of the man's top?,black,white,yellow,pink,Penghao
53,What is the man holding?,X-box,phone,camera,pig,Penghao
53,What is the color of the man's glasses?,black,white,yellow,blue,Penghao
53,What are they trying to do?,fix the X-box,play the video game,homework,watch movies,Penghao
54,What color is the screwdriver?,orange,silver,olive,brown,Aura
54,What tool does he use first?,screwdriver,grinding tool,sledge hammer,wrench,Aura
54,What color are the tables?,white,blue,orange,silver,Aura
54,How may people are there?,3,4,10,6,Aura
54,What does he need to go out?,screws,nails,paint,air,Aura
54,How many kids are in this video?,2,1,6,3,Penghao
54,What's color of the wall?,white,brown,purple,orange,Penghao
54,How many women are in the video?,0,1,2,3,Penghao
54,What's color of the table?,white,brown,purple,orange,Penghao
55,What color is the box?,olive,blue,black,orange,Aura
55,What tool did the father use first?,grinding tool,sledge hammer,wrench,screwdriver,Aura
55,What glasses the kids wear?,safety glasses,sunglasses,swimming,driving,Aura
55,How many boys are?,2,3,4,10,Aura
55,What does the father want to do to the box?,fix ,grind,throw,recycle,Aura
55,How many women are in the video?,2,1,4 ,3,Penghao
55,What's color of the table?,white,brown,purple,orange,Penghao
55,What's color of the wall?,white,brown,purple,orange,Penghao
55,How many kids are in this video?,2,4 ,6,0,Penghao
55,How many people are wearing glasses?,4 ,1,6,0,Penghao
56,How many people are wearing eyeglasses?,3,2,1,6,Aura
56,What do they break?,xBox,TV,monitor,computer,Aura
56,Who is breaking the xBox?,father,grandmother,woman,boy,Aura
56,How many people have black t-shirts?,black,orange,silver,olive,Aura
56,What tool did the father use?,sledge hammer,wrench,screwdriver,pump,Aura
56,What is the man holding?,a hammer,a pig,a knife,an apple,Penghao
56,What is the boy's reaction when the man smashed the x-box?,he is surprised,he is happy,he smiles,he is excited,Penghao
56,What is the woman's top?,blue,black,yellow,pink,Penghao
56,What's wrong with the x-box at last?,it is smashed,it is fixed,it is sold,it doesn't work,Penghao
56,How many bikes are there?,2,3,1,4 ,Penghao
57,Where does he go first?,closet,garage,restroom,kitchen,Aura
57,What does he get from the closet?,box,tire,hammer,wrench,Aura
57,What is in the box?,replacement part,TV,book,computer,Aura
57,How many bikes are?,2,1,3,5,Aura
57,Who is wearing a watch?,father,woman,boy,pet,Aura
57,How many people are in this video?,4 ,1,6,0,Penghao
57,What's the color of the chair?,yellow,black,red,blue,Penghao
57,How many kids are in this video?,2,4 ,6,0,Penghao
57,How many dogs are in this video?,0,1,2,3,Penghao
58,What does the boy do?,inflate tire,build bicycle,build car,clean car,Aura
58,Where are they?,garage,school,cinema,restaurant,Aura
58,Whose bicycle is it?,mother's,grandmother's,girl's,father's,Aura
58,What tire is it?,bicycle,car,lawn mower,tractor,Aura
58,What is the boy using?,pump,wrench,hammer,nails,Aura
59,When did the mom go to the pet store?,Tuesday,Thursday,Wednesday,Saturday,Aura
59,Where is he?,car,garage,cinema,bed,Aura
59,Where is he going?,animal shelter,cinema,restaurant,school,Aura
59,What will he adopt?,kit10s,birds,fish,frogs,Aura
59,How many pets will he adopt?,2,3,4,10,Aura
59,How many people are in this video?,1,4 ,6,0,Penghao
59,What's color of the ball?,red,brown,purple,orange,Penghao
59,How  many people wearing glasses?,1,2,6,0,Penghao
59,How many dogs in this video?,0,1,2,3,Penghao
59,How many cats in this video?,2,1,4 ,3,Penghao
60,How many white boxes are?,2,1,3,4,Aura
60,What's the occasion for the surprise?,Christmas,birthday,Mother's Day,Father's day,Aura
60,What color is the couch?,white,olive,red ,golden,Aura
60,Who opens the box?,Ryan,Mother,Mike,Jane,Aura
60,What kind of tree they have?,Christmas tree,apple tree,orange tree,plum tree,Aura
60,What is the surprise for?,Christmas,Easter,Birthday,Halloween,Penghao
60,How many kids are there?,3,4 ,2,1,Penghao
60,What is the gift?,cat,dog,apple,pig,Penghao
60,How many cats are there?,2,3,4 ,1,Penghao
60,What is the color of the cats?,black,brown,white,yellow,Penghao
61,Who was running?,cats,boy,girl,mouse,Aura
61,Why were cats runnning?,were scared,were excited,were happy,were ill,Aura
